dataset,level_1,level_2,level_3,fname,longitude,latitude
MEYER-OKIN,pv,pv,acacia erioloba,S10T2ind_051,21.6773,-23.6335
SR,pv,UNKN-,UNKN-,SR0022_l1_01_pv,-120.0383333,34.70498167
DP,pv,UNKN-,UNKN-,DP0033_l2_03_pv,-120.3989417,34.52642167
DP,pv,UNKN-,UNKN-,DP0033_l2_05_pv,-120.3989483,34.52639667
DP,pv,UNKN-,UNKN-,DP0033_l2_07_pv,-120.3989533,34.52636667
DP,pv,UNKN-,UNKN-,DP0033_l2_08_pv,-120.3989417,34.52636
SR,pv,UNKN-,UNKN-,SR0022_l1_04_pv,-120.0382867,34.70499333
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_003,21.6773,-23.6335
SR,pv,UNKN-,UNKN-,SR0022_l1_18_pv,-120.0381733,34.70498333
MEYER-OKIN,pv,pv,green grass,S10T2ind_019,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T2ind_018,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T2ind_017,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T2ind_016,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia melifera,S10T2ind_014,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia melifera,S10T2ind_013,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia melifera,S10T2ind_012,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia melifera,S10T2ind_011,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_010,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_009,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_008,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_007,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_006,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_005,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T2ind_020,21.6773,-23.6335
SR,pv,UNKN-,UNKN-,SR0019_l1_12_pv,-120.0413383,34.70288833
MEYER-OKIN,pv,pv,Rhus tenuiveris,S12T3ind_018,21.9163,-24.6304
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_000,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_007,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_008,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_009,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_010,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_027,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_028,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_047,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_006,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_048,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_050,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_051,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_052,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_073,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_074,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_075,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_076,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_049,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_077,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_005,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_003,21.7716,-18.3886
MEYER-OKIN,pv,pv,green grass,S15T1ind_043,20.6729,-26.8199
MEYER-OKIN,pv,pv,green grass,S15T1ind_044,20.6729,-26.8199
MEYER-OKIN,pv,pv,green grass,S15T1ind_045,20.6729,-26.8199
MEYER-OKIN,pv,pv,grewia bicolor,S15T1ind_052,20.6729,-26.8199
MEYER-OKIN,pv,pv,grewia bicolor,S15T1ind_053,20.6729,-26.8199
MEYER-OKIN,pv,pv,grewia bicolor,S15T1ind_054,20.6729,-26.8199
MEYER-OKIN,pv,pv,grewia bicolor,S15T1ind_055,20.6729,-26.8199
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_004,21.7716,-18.3886
MEYER-OKIN,pv,pv,terminalia sericea,S15T1ind_056,20.6729,-26.8199
MEYER-OKIN,pv,pv,terminalia sericea,S15T1ind_058,20.6729,-26.8199
MEYER-OKIN,pv,pv,terminalia sericea,S15T1ind_059,20.6729,-26.8199
MEYER-OKIN,pv,pv,terminalia sericea,S15T1ind_060,20.6729,-26.8199
MEYER-OKIN,pv,pv,Pluri leaf,s1t1ind_064,21.7716,-18.3886
MEYER-OKIN,pv,pv,Pluri leaf,s1t1ind_065,21.7716,-18.3886
SR,pv,UNKN-,UNKN-,SR0019_l1_08_pv,-120.0413,34.70288
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_001,21.7716,-18.3886
MEYER-OKIN,pv,pv,terminalia sericea,S15T1ind_057,20.6729,-26.8199
MEYER-OKIN,pv,pv,green grass,S15T1ind_042,20.6729,-26.8199
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_078,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_121,21.7716,-18.3886
MEYER-OKIN,pv,pv,Combretum spp,S1T1wind_150,21.7716,-18.3886
MEYER-OKIN,pv,pv,Strychnos pungens,S1T1wind_158,21.7716,-18.3886
MEYER-OKIN,pv,pv,Strychnos pungens,S1T1wind_159,21.7716,-18.3886
MEYER-OKIN,pv,pv,Strychnos pungens,S1T1wind_160,21.7716,-18.3886
MEYER-OKIN,pv,pv,Strychnos pungens,S1T1wind_161,21.7716,-18.3886
MEYER-OKIN,pv,pv,Strychnos pungens,S1T1wind_162,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf,s1t2ind_001,21.7716,-18.3886
MEYER-OKIN,pv,pv,Combretum spp,S1T1wind_149,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf,s1t2ind_016,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf ,s1t3ind_049,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf ,s1t3ind_050,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf ,s1t3ind_051,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf,s1t3ind_054,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf,s1t3ind_055,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf,s1t3ind_062,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf,s1t3ind_063,21.7716,-18.3886
MEYER-OKIN,pv,pv,leaf,s1t2ind_017,21.7716,-18.3886
MEYER-OKIN,pv,pv,Burkea africana,S1T1wind_079,21.7716,-18.3886
MEYER-OKIN,pv,pv,Combretum spp,S1T1wind_148,21.7716,-18.3886
MEYER-OKIN,pv,pv,Grewia spp,S1T1wind_145,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_122,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_123,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_124,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_125,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_126,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_127,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_129,21.7716,-18.3886
MEYER-OKIN,pv,pv,Combretum spp,S1T1wind_147,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_131,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_133,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_134,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_135,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_136,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_137,21.7716,-18.3886
MEYER-OKIN,pv,pv,Bauhinia petersiana,S1T1wind_140,21.7716,-18.3886
MEYER-OKIN,pv,pv,Grewia spp,S1T1wind_144,21.7716,-18.3886
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S1T1wind_132,21.7716,-18.3886
MEYER-OKIN,pv,pv,green grass,S15T1ind_041,20.6729,-26.8199
SR,pv,UNKN-,UNKN-,SR0034_l2_04_pv,-120.0349617,34.68666
MEYER-OKIN,pv,pv,boscia albitrunca,S14T1din_023,22.3547,-25.8497
MEYER-OKIN,pv,pv,a mellifera,S14T1din_022,22.3547,-25.8497
MEYER-OKIN,pv,pv,green grass,S15T1ind_008,20.6729,-26.8199
SR,pv,BRASNIGR,BRASNIGR,SR0000_l1_11_pv,-120.033585,34.693485
MEYER-OKIN,pv,pv,boscia albitrunca,S14T1din_024,22.3547,-25.8497
MEYER-OKIN,pv,pv,green herb,S14T1din_015,22.3547,-25.8497
MEYER-OKIN,pv,pv,green herb,S14T1din_017,22.3547,-25.8497
MEYER-OKIN,pv,pv,green herb,S14T1din_018,22.3547,-25.8497
MEYER-OKIN,pv,pv,a mellifera,S14T1din_021,22.3547,-25.8497
MEYER-OKIN,pv,pv,boscia albitrunca,S14T1din_025,22.3547,-25.8497
MEYER-OKIN,pv,pv,green grass,S14T1din_038,22.3547,-25.8497
SR,pv,AVENFATU,AVENFATU,SR0000_l3_02_pv,-120.0341333,34.69303333
SR,pv,UNKN-,UNKN-,SR0019_l1_07_pv,-120.0413117,34.70290333
MEYER-OKIN,pv,pv,green grass,S14T1din_037,22.3547,-25.8497
MEYER-OKIN,pv,pv,green grass,S14T1din_034,22.3547,-25.8497
MEYER-OKIN,pv,pv,green grass,S14T1din_033,22.3547,-25.8497
SR,pv,AVENFATU,AVENFATU,SR0000_l3_03_pv,-120.0341117,34.69305
SR,pv,AVENFATU,AVENFATU,SR0000_l2_00_pv,-120.033845,34.69291333
SR,pv,AVENFATU,AVENFATU,SR0000_l2_04_pv,-120.03377,34.69275833
SR,pv,AVENFATU,AVENFATU,SR0000_l2_06_pv,-120.0337133,34.69267167
MEYER-OKIN,pv,pv,green herb,S14T1din_029,22.3547,-25.8497
MEYER-OKIN,pv,pv,green herb,S14T1din_028,22.3547,-25.8497
MEYER-OKIN,pv,pv,green grass,S15T1ind_005,20.6729,-26.8199
MEYER-OKIN,pv,pv,green herb,S14T1din_027,22.3547,-25.8497
MEYER-OKIN,pv,pv,green grass,S14T1din_035,22.3547,-25.8497
MEYER-OKIN,pv,pv,green grass,S15T1ind_007,20.6729,-26.8199
ossl,soil,soil,308f5f6241dde45771ba4135db976c81,2125_308f5f6241dde45771ba4135db976c81,-121.25387,37.88985
ossl,soil,soil,ed45674caa225449e53dcba8ee3a284c,2126_ed45674caa225449e53dcba8ee3a284c,-121.25387,37.88985
ossl,soil,soil,deab6a74b7f9d3502b99101dc6405d05,2055_deab6a74b7f9d3502b99101dc6405d05,-121.44443,38.37741
ossl,soil,soil,0bee32e3dfa37ec9e74ebd8553468c45,2123_0bee32e3dfa37ec9e74ebd8553468c45,-121.25387,37.88985
ossl,soil,soil,f052d1708d0c10d62d856020ae4e5466,2127_f052d1708d0c10d62d856020ae4e5466,-121.25387,37.88985
ossl,soil,soil,b8184df179f827a4e178dca86dfdfd73,2122_b8184df179f827a4e178dca86dfdfd73,-121.25387,37.88985
ossl,soil,soil,2b55f994abac9ccd41510775b708de70,3134_2b55f994abac9ccd41510775b708de70,-121.25387,37.88985
ossl,soil,soil,20f1be6a44609f71b81c497df8260e40,3133_20f1be6a44609f71b81c497df8260e40,-121.25387,37.88985
ossl,soil,soil,2e7c3663a1dc1dfb68eaae5bfbcd22eb,2121_2e7c3663a1dc1dfb68eaae5bfbcd22eb,-121.25387,37.88985
ossl,soil,soil,d49acbb4c9a55ca41cf849b9fbaa1137,3132_d49acbb4c9a55ca41cf849b9fbaa1137,-121.25387,37.88985
ossl,soil,soil,a7bf87822994dc55c08f2f6c8ba90442,2855_a7bf87822994dc55c08f2f6c8ba90442,-121.25387,37.88985
ossl,soil,soil,03c33f0a35cd8cee45eb9876f654f649,0572_03c33f0a35cd8cee45eb9876f654f649,-118.3069444,37.52997222
ossl,soil,soil,03c33f0a35cd8cee45eb9876f654f649,0571_03c33f0a35cd8cee45eb9876f654f649,-118.3069444,37.52997222
ossl,soil,soil,6d379a9f0331459c9e0063a9ed6165ea,2854_6d379a9f0331459c9e0063a9ed6165ea,-121.25387,37.88985
ossl,soil,soil,25c820ef7f68b7ddd2632f926c3241c8,2853_25c820ef7f68b7ddd2632f926c3241c8,-121.25387,37.88985
ossl,soil,soil,efadf4c1cd9f42797a69782f1d0fc0e2,2852_efadf4c1cd9f42797a69782f1d0fc0e2,-121.25387,37.88985
ossl,soil,soil,8f1f94de9023170e516c3eb39e88d81f,2851_8f1f94de9023170e516c3eb39e88d81f,-121.25387,37.88985
ossl,soil,soil,0c4f54575c69e0c77105be10f0499deb,2124_0c4f54575c69e0c77105be10f0499deb,-121.25387,37.88985
ossl,soil,soil,bbb98e88e4094f1333e48563ce3db03a,2128_bbb98e88e4094f1333e48563ce3db03a,-121.25387,37.88985
ossl,soil,soil,6f7b1a46e2e0f06fa771edded8d88cb2,2337_6f7b1a46e2e0f06fa771edded8d88cb2,-121.54585,37.90353056
ossl,soil,soil,03c33f0a35cd8cee45eb9876f654f649,0574_03c33f0a35cd8cee45eb9876f654f649,-118.3069444,37.52997222
ossl,soil,soil,972f8272bd58aeef3353afb9b441d620,2824_972f8272bd58aeef3353afb9b441d620,-121.25387,37.88985
ossl,soil,soil,e65d9329de8c0cfb88e22b924208f9bc,0581_e65d9329de8c0cfb88e22b924208f9bc,-118.2984167,37.52958333
ossl,soil,soil,e65d9329de8c0cfb88e22b924208f9bc,0582_e65d9329de8c0cfb88e22b924208f9bc,-118.2984167,37.52958333
ossl,soil,soil,408ac1e5b2b05b63e650bd356018b62c,0592_408ac1e5b2b05b63e650bd356018b62c,-103.50554,36.36978
ossl,soil,soil,ac1c07673c6f140032b48dcbe80606b5,2825_ac1c07673c6f140032b48dcbe80606b5,-121.25387,37.88985
ossl,soil,soil,74a1b82718be54e4b80753248eb72138,3138_74a1b82718be54e4b80753248eb72138,-121.25387,37.88985
ossl,soil,soil,a40d37a106d493f724012adf230b5369,2826_a40d37a106d493f724012adf230b5369,-121.25387,37.88985
ossl,soil,soil,537959887962e1bb18794965ad9f73dc,0593_537959887962e1bb18794965ad9f73dc,-103.50554,36.36978
ossl,soil,soil,2a17cd3a45ed87c2f638afb4917b463b,0594_2a17cd3a45ed87c2f638afb4917b463b,-103.50554,36.36978
ossl,soil,soil,8d25153bec94068872e2a5ff021e5ff7,2827_8d25153bec94068872e2a5ff021e5ff7,-121.25387,37.88985
ossl,soil,soil,62255f5fe0a53c41867287a4970fa778,2828_62255f5fe0a53c41867287a4970fa778,-121.25387,37.88985
ossl,soil,soil,77c69cb83752706defb1594a36777a0a,2829_77c69cb83752706defb1594a36777a0a,-121.25387,37.88985
ossl,soil,soil,b1511e19c0e6c4e25cad5700f8f01db0,2830_b1511e19c0e6c4e25cad5700f8f01db0,-121.25387,37.88985
ossl,soil,soil,a0ea4af0c78eed075bb0dfc18fd33cde,2831_a0ea4af0c78eed075bb0dfc18fd33cde,-121.25387,37.88985
ossl,soil,soil,b75c7cbf7accdaea8a1a14781bb29870,2832_b75c7cbf7accdaea8a1a14781bb29870,-121.25387,37.88985
ossl,soil,soil,62b96ea23ebf14eac4998ed26c3bdd3a,2823_62b96ea23ebf14eac4998ed26c3bdd3a,-121.25387,37.88985
ossl,soil,soil,c845495e09b2ef4d634f8919f10298eb,2822_c845495e09b2ef4d634f8919f10298eb,-121.25387,37.88985
ossl,soil,soil,e65d9329de8c0cfb88e22b924208f9bc,0580_e65d9329de8c0cfb88e22b924208f9bc,-118.2984167,37.52958333
ossl,soil,soil,e65d9329de8c0cfb88e22b924208f9bc,0579_e65d9329de8c0cfb88e22b924208f9bc,-118.2984167,37.52958333
ossl,soil,soil,652901ebfb11a3676763839aa0a4c33f,0575_652901ebfb11a3676763839aa0a4c33f,-118.3069722,37.52980556
ossl,soil,soil,d37e00774187186b405ec1e9860769dd,2230_d37e00774187186b405ec1e9860769dd,-121.44443,38.37741
ossl,soil,soil,429a0bbb07ba5dfc73526d4d927c14f5,2850_429a0bbb07ba5dfc73526d4d927c14f5,-121.25387,37.88985
ossl,soil,soil,f6ceca33d1b135d285eed4fc2ea3d5ce,3135_f6ceca33d1b135d285eed4fc2ea3d5ce,-121.25387,37.88985
ossl,soil,soil,c34ec4446ec715359dbb187316adf87d,3136_c34ec4446ec715359dbb187316adf87d,-121.25387,37.88985
ossl,soil,soil,532efdb1130eee335d7e9bbf215e105d,3137_532efdb1130eee335d7e9bbf215e105d,-121.25387,37.88985
ossl,soil,soil,d6c6324dd148d549020f3b9701dc82b6,2376_d6c6324dd148d549020f3b9701dc82b6,-120.76025,36.73186111
ossl,soil,soil,03c33f0a35cd8cee45eb9876f654f649,0573_03c33f0a35cd8cee45eb9876f654f649,-118.3069444,37.52997222
ossl,soil,soil,f6bc91368bc6cf63e667323516a58838,2816_f6bc91368bc6cf63e667323516a58838,-121.25387,37.88985
ossl,soil,soil,fdb2ab7c6d32198281dca52d36a8ac52,2818_fdb2ab7c6d32198281dca52d36a8ac52,-121.25387,37.88985
ossl,soil,soil,c838466c0795116810f82497405542c0,2819_c838466c0795116810f82497405542c0,-121.25387,37.88985
ossl,soil,soil,4f02077f0bdafec23821544f7448e7e7,2820_4f02077f0bdafec23821544f7448e7e7,-121.25387,37.88985
ossl,soil,soil,8c4967fa62628e93463f33c2bbd9ee53,2821_8c4967fa62628e93463f33c2bbd9ee53,-121.25387,37.88985
ossl,soil,soil,652901ebfb11a3676763839aa0a4c33f,0576_652901ebfb11a3676763839aa0a4c33f,-118.3069722,37.52980556
ossl,soil,soil,652901ebfb11a3676763839aa0a4c33f,0577_652901ebfb11a3676763839aa0a4c33f,-118.3069722,37.52980556
ossl,soil,soil,652901ebfb11a3676763839aa0a4c33f,0578_652901ebfb11a3676763839aa0a4c33f,-118.3069722,37.52980556
ossl,soil,soil,82d7223e6dcbb883984a867d8895ae3d,2817_82d7223e6dcbb883984a867d8895ae3d,-121.25387,37.88985
ossl,soil,soil,8bc5b16d23c99998ce1d4e78db1d790d,2849_8bc5b16d23c99998ce1d4e78db1d790d,-121.25387,37.88985
ossl,soil,soil,531a377c94fa56202dbb7fd47ae217f5,0368_531a377c94fa56202dbb7fd47ae217f5,-119.2343333,38.07298333
ossl,soil,soil,a0ad3c5a5be5fb82bcbd1f81999c8e44,0480_a0ad3c5a5be5fb82bcbd1f81999c8e44,-101.05949,41.56855
ossl,soil,soil,6a9bc111cc44d70f5ec67c3b4861a781,2841_6a9bc111cc44d70f5ec67c3b4861a781,-121.25387,37.88985
ossl,soil,soil,30f67efc417a4bc6a03779f50c3f9e42,2840_30f67efc417a4bc6a03779f50c3f9e42,-121.25387,37.88985
ossl,soil,soil,4fa0a772af3d8cbed04b9353414b867e,2065_4fa0a772af3d8cbed04b9353414b867e,-121.25387,37.88985
ossl,soil,soil,5a1d406f604c8b1f0d2c90cb8dd2ead8,2064_5a1d406f604c8b1f0d2c90cb8dd2ead8,-121.25387,37.88985
ossl,soil,soil,accc518d3a7ff21f1a99dc00802eabc3,2063_accc518d3a7ff21f1a99dc00802eabc3,-121.25387,37.88985
ossl,soil,soil,c9e956b9b84879b82f2e9595e8ba646c,2062_c9e956b9b84879b82f2e9595e8ba646c,-121.44443,38.37741
ossl,soil,soil,42d80d796b6cedd222371f7a49ab57a3,2061_42d80d796b6cedd222371f7a49ab57a3,-121.44443,38.37741
ossl,soil,soil,2f6060bed5f35ff37c550d9fece2f7f4,2060_2f6060bed5f35ff37c550d9fece2f7f4,-121.44443,38.37741
ossl,soil,soil,1d638ac8da31cd3744d01f4845651b57,2835_1d638ac8da31cd3744d01f4845651b57,-121.25387,37.88985
ossl,soil,soil,2aae40fa19776a62585c6b60d091354f,2836_2aae40fa19776a62585c6b60d091354f,-121.25387,37.88985
ossl,soil,soil,1bf4b10b058cd14143bf1c9caeb5fe83,0331_1bf4b10b058cd14143bf1c9caeb5fe83,-102.5644,37.31875
ossl,soil,soil,1bf4b10b058cd14143bf1c9caeb5fe83,0330_1bf4b10b058cd14143bf1c9caeb5fe83,-102.5644,37.31875
ossl,soil,soil,cc07c69313c4cd2e2f0835a8b3102964,1763_cc07c69313c4cd2e2f0835a8b3102964,-121.25387,37.88985
ossl,soil,soil,f5f4e71442d14e731bba118040c71f95,2059_f5f4e71442d14e731bba118040c71f95,-121.44443,38.37741
ossl,soil,soil,09ba4ece60053dac8e123d46564013f6,2066_09ba4ece60053dac8e123d46564013f6,-121.25387,37.88985
ossl,soil,soil,69a733c61d551457493452cfb7dc9bf4,1764_69a733c61d551457493452cfb7dc9bf4,-121.25387,37.88985
ossl,soil,soil,febb7687c71fc43bbadd84ae18bc8626,1766_febb7687c71fc43bbadd84ae18bc8626,-121.25387,37.88985
ossl,soil,soil,7d7c6bd4c7fa42d65cdcea5d1015a8d8,1767_7d7c6bd4c7fa42d65cdcea5d1015a8d8,-121.25387,37.88985
ossl,soil,soil,852feb2869e09463b5ef4e52ad95b592,1768_852feb2869e09463b5ef4e52ad95b592,-121.25387,37.88985
ossl,soil,soil,fbfd3785c41f4978383f2a5754f33ea9,2058_fbfd3785c41f4978383f2a5754f33ea9,-121.44443,38.37741
ossl,soil,soil,b358e92503cf5188cd92088bb9bae5af,1854_b358e92503cf5188cd92088bb9bae5af,-122.39744,39.59175
ossl,soil,soil,34ec178317640c8d1b10a9499b9beee7,2050_34ec178317640c8d1b10a9499b9beee7,-121.44443,38.37741
ossl,soil,soil,be23e6c046151497242954a8ee4af075,2051_be23e6c046151497242954a8ee4af075,-121.44443,38.37741
ossl,soil,soil,7bfa8c7daeb32a14dad9fe1219be09a1,2052_7bfa8c7daeb32a14dad9fe1219be09a1,-121.44443,38.37741
ossl,soil,soil,ca416134face5da7787471cdac2c9b5b,2057_ca416134face5da7787471cdac2c9b5b,-121.44443,38.37741
ossl,soil,soil,31b003a626248a656aec183841b155a4,2839_31b003a626248a656aec183841b155a4,-121.25387,37.88985
ossl,soil,soil,a1fde6b743bdfa3c9798536192b9143d,2053_a1fde6b743bdfa3c9798536192b9143d,-121.44443,38.37741
ossl,soil,soil,f684e4c32e742e0684a5855544fcf09a,2054_f684e4c32e742e0684a5855544fcf09a,-121.44443,38.37741
ossl,soil,soil,83a96dabe23ac6b68e65edc23e176787,2838_83a96dabe23ac6b68e65edc23e176787,-121.25387,37.88985
ossl,soil,soil,2d3da83a2ea25a2a59858deb7ff9c68e,2837_2d3da83a2ea25a2a59858deb7ff9c68e,-121.25387,37.88985
ossl,soil,soil,99bcc0670755b041dcd6365218643de3,1765_99bcc0670755b041dcd6365218643de3,-121.25387,37.88985
ossl,soil,soil,db130fbef530f2a6d2b28dd886f21c83,2067_db130fbef530f2a6d2b28dd886f21c83,-121.25387,37.88985
ossl,soil,soil,f4a6f35fb13c67d4da63ed5b394a25df,2068_f4a6f35fb13c67d4da63ed5b394a25df,-121.961535,38.61955
ossl,soil,soil,5dbdfb006bfb96cb7115ce3a5a985171,2071_5dbdfb006bfb96cb7115ce3a5a985171,-121.25387,37.88985
ossl,soil,soil,a79d4d4a0aee199f9ffaf11baed6f180,0479_a79d4d4a0aee199f9ffaf11baed6f180,-101.126165,42.542635
ossl,soil,soil,531a377c94fa56202dbb7fd47ae217f5,0369_531a377c94fa56202dbb7fd47ae217f5,-119.2343333,38.07298333
ossl,soil,soil,c56ff9d8e9a0bcc230f64f66f918f6f7,2848_c56ff9d8e9a0bcc230f64f66f918f6f7,-121.25387,37.88985
ossl,soil,soil,1e4a05538195067d4921d32961fed71a,2056_1e4a05538195067d4921d32961fed71a,-121.44443,38.37741
ossl,soil,soil,531a377c94fa56202dbb7fd47ae217f5,0367_531a377c94fa56202dbb7fd47ae217f5,-119.2343333,38.07298333
ossl,soil,soil,531a377c94fa56202dbb7fd47ae217f5,0366_531a377c94fa56202dbb7fd47ae217f5,-119.2343333,38.07298333
ossl,soil,soil,a00bbd2f5b5a06011e938f7810dfccbe,2847_a00bbd2f5b5a06011e938f7810dfccbe,-121.25387,37.88985
ossl,soil,soil,c215aecec860b306f6b7a964dbee45e2,0341_c215aecec860b306f6b7a964dbee45e2,-102.5644,37.31875
ossl,soil,soil,c215aecec860b306f6b7a964dbee45e2,0340_c215aecec860b306f6b7a964dbee45e2,-102.5644,37.31875
ossl,soil,soil,c215aecec860b306f6b7a964dbee45e2,0339_c215aecec860b306f6b7a964dbee45e2,-102.5644,37.31875
ossl,soil,soil,18e52f13d6ae1af3b71b039721212b7b,2846_18e52f13d6ae1af3b71b039721212b7b,-121.25387,37.88985
ossl,soil,soil,f921262f703431d377b919265c9bdaec,2845_f921262f703431d377b919265c9bdaec,-121.25387,37.88985
ossl,soil,soil,99ebf946b5222e5150cd00a91d8e0d20,2844_99ebf946b5222e5150cd00a91d8e0d20,-121.25387,37.88985
ossl,soil,soil,c215aecec860b306f6b7a964dbee45e2,0338_c215aecec860b306f6b7a964dbee45e2,-102.5644,37.31875
ossl,soil,soil,d742f6d82d31615ed9aa4d351d1c0d6d,0337_d742f6d82d31615ed9aa4d351d1c0d6d,-102.5644,37.31875
ossl,soil,soil,d742f6d82d31615ed9aa4d351d1c0d6d,0336_d742f6d82d31615ed9aa4d351d1c0d6d,-102.5644,37.31875
ossl,soil,soil,d742f6d82d31615ed9aa4d351d1c0d6d,0335_d742f6d82d31615ed9aa4d351d1c0d6d,-102.5644,37.31875
ossl,soil,soil,2abf112a6d77457fd3c50ae06d484e5c,2072_2abf112a6d77457fd3c50ae06d484e5c,-121.25387,37.88985
ossl,soil,soil,e09a0e54ea7bbef9987e45352111f433,2073_e09a0e54ea7bbef9987e45352111f433,-121.25387,37.88985
ossl,soil,soil,1bf4b10b058cd14143bf1c9caeb5fe83,0332_1bf4b10b058cd14143bf1c9caeb5fe83,-102.5644,37.31875
ossl,soil,soil,0d6139fdbc7238dbf14cc1997b83ce58,2074_0d6139fdbc7238dbf14cc1997b83ce58,-121.25387,37.88985
ossl,soil,soil,1bf4b10b058cd14143bf1c9caeb5fe83,0333_1bf4b10b058cd14143bf1c9caeb5fe83,-102.5644,37.31875
ossl,soil,soil,754ded87195c267f7fe891cf33c9feb6,2075_754ded87195c267f7fe891cf33c9feb6,-121.25387,37.88985
ossl,soil,soil,f18dbc0a1610fc1a119b7bb0dd8598ce,0482_f18dbc0a1610fc1a119b7bb0dd8598ce,-99.41182,40.51832
ossl,soil,soil,99cc801d75cb19bfa907b4bc028dba4f,2076_99cc801d75cb19bfa907b4bc028dba4f,-121.25387,37.88985
