"label","key_value","condition_value","sort_order"
"Eschscholzia californica - California poppy","ESCHCALI","","303"
"Escobaria vivipara","ESCOVIVI","","304"
"Eucrypta micrantha","EUCRMICR","","305"
"Euphorbia davidii","EUPHDAVI","","306"
"Evolvulus alsinoides","EVOLALSI","","307"
"Evolvulus nuttallianus","EVOLNUTT","","308"
"Evolvulus sericeus","EVOLSERI","","309"
"Fabronia ciliaris","FABRCILI","","310"
"Fallugia paradoxa","FALLPARA","","311"
"Ferocactus wislizeni","FEROWISL","","312"
"Festuca microstachys","FESTMICR","","313"
"Festuca octoflora","FESTOCTO","","314"
"Festuca perennis","FESTPERE","","315"
"Festuca rubra","FESTRUBR","","316"
"Festuca tementula","FESTTEME","","317"
"Fissidens littlei","FISSLITT","","318"
"Flourensia cernua","FLOUCERN","","319"
"Forestiera pubescens","FOREPUBE","","320"
"Fouquieria splendens","FOUQSPLE","","321"
"Frangula californica - California coffeeberry","FRANCALI","","322"
"Froelichia arizonica","FROEARIZ","","323"
"Froelichia floridana","FROEFLOR","","324"
"Gaillardia pinnatifida","GAILPINN","","325"
"Gaillardia pulchella","GAILPULC","","326"
"Galium andrewsii - Phlox leaved bedstraw","GALIANDR","","327"
"Galium aparine - Common bedstraw","GALIAPAR","","328"
"Galium microphyllum","GALIMICR","","329"
"Galium nuttallii","GALINUTT","","330"
"Galium porrigens - Climbing bedstraw","GALIPORR","","331"
"Garrya wrightii","GARRWRIG","","332"
"Gastridium phleoides","GASTPHLE","","333"
"Gaura coccinea","GAURCOCC","","334"
"Geranium dissectum","GERADISS","","335"
"Geranium molle","GERAMOLL","","336"
"Gilia capitata","GILICAPI","","337"
"Gilia flavocincta","GILIFLAV","","338"
"Gilia mexicana","GILIMEXI","","339"
"Gilia sinuata","GILISINU","","340"
"Glandularia bipinnatifida","GLANBIPI","","341"
"Gleditsia triacanthos","GLEDTRIA","","342"
"Glycyrrhiza lepidota","GLYCLEPI","","343"
"Grimmia pulvinata","GRIMPULV","","344"
"Grindelia squarrosa","GRINSQUA","","345"
"Guilleminea densa","GUILDENS","","346"
"Gutierrezia microcephala","GUTIMICR","","347"
"Gutierrezia sarothrae","GUTISARO","","348"
"Gutierrezia sphaerocephala","GUTISPHA","","349"
"Gutierrezia texana","GUTITEXA","","350"
"Halogeton glomeratus - Saltlover","HALOGLOM","","351"
"Haplophyton crooksii","HAPLCROO","","352"
"Hazardia squarrosa - Sawtooth goldenbush","HAZASQUA","","353"
"Hedeoma nana","HEDENANA","","354"
"Hedosyne ambrosiifolia","HEDOAMBR","","355"
"Helianthus annuus","HELIANNU","","356"
"Helianthus ciliaris","HELICILI","","357"
"Helianthus petiolaris","HELIPETI","","358"
"Heliotropium convolvulaceum","HELICONV","","359"
"Heliotropium curassavicum","HELICURA","","360"
"Heliotropium greggii","HELIGREG","","361"
"Herissantia crispa","HERICRIS","","362"
"Hesperocyparis macrocarpa","HESPMACR","","363"
"Hesperoyucca whipplei","HESPWHIP","","364"
"Heteromeles arbutifolia - Toyon","HETEARBU","","365"
"Heteropogon contortus","HETECONT","","366"
"Heterotheca canescens","HETECANE","","367"
"Heterotheca fulcrata","HETEFULC","","368"
"Hibiscus denudatus","HIBIDENU","","369"
"Hirschfeldia incana","HIRSINCA","","370"
"Hoffmannseggia drepanocarpa","HOFFDREP","","371"
"Hoffmannseggia glauca","HOFFGLAU","","372"
"Hordeum brachyantherum","HORDBRAC","","373"
"Hordeum murinum","HORDMURI","","374"
"Hordeum murinum ssp. leporinum","HORDMURIL","","375"
"Houstonia humifusa","HOUSHUMI","","376"
"Hybanthus verticillatus","HYBAVERT","","377"
"Hymenopappus flavescens","HYMEFLAV","","378"
"Hymenothrix wislizenii","HYMEWISL","","379"
"Hymenoxys odorata","HYMEODOR","","380"
